course,lng,lat,Estblsh,Age_yrs,Mn_prtc,Mn_vlnt
colchestercastle,0.903548,51.89177,06/04/2013,5.9,269.6,24.1
,,,,,,
ashford,0.859466,51.14511,26/10/2013,5.4,168.7,18.3
,,,,,,
burnhamoncrouch,0.810703,51.627402,22/07/2017,1.6,94.9,14.3
,,,,,,
holkham,0.800972,52.950118,12/12/2015,3.2,132.9,12.9
,,,,,,
southend,0.786917,51.523765,13/10/2012,6.4,246.4,17.3
,,,,,,
greatcornard,0.752735,52.023438,01/03/2014,5,100.6,21.1
,,,,,,
sittingbourne,0.7424998,51.35573,27/02/2016,3,165,22
,,,,,,
thetford,0.738358,52.415482,23/02/2013,6,164.3,16
,,,,,,
burystedmunds,0.733895,52.222857,29/06/2013,5.7,192.3,12.4
,,,,,,
maldonprom,0.693426,51.726071,31/08/2013,5.5,212.5,16.2
,,,,,,
swaffham,0.688486,52.638622,26/05/2018,0.8,76.4,13.4
,,,,,,
hockleywoods,0.649138,51.596028,07/02/2015,4.1,187,18
,,,,,,
brandoncountrypark,0.621114,52.437046,09/03/2013,6,82.2,11.4
,,,,,,
southwoodhamferrers,0.61296,51.631637,10/03/2018,1,103.1,19.8
,,,,,,
hadleigh,0.596035,51.549758,22/10/2016,2.4,115.1,17
,,,,,,
clarecastle,0.583091,52.076638,30/09/2017,1.4,110.6,17.6
,,,,,,
hastings,0.539789,50.850283,18/04/2015,3.9,199.4,23
,,,,,,
greatlines,0.536313,51.385629,28/09/2013,5.5,293,32.8
,,,,,,
greatnotley,0.515242,51.861917,28/06/2014,4.7,189.5,24.9
,,,,,,
maidstone,0.510435,51.289567,13/04/2013,5.9,290.7,23.2
,,,,,,
basildon,0.497797,51.576763,05/04/2014,4.9,150.5,19.7
,,,,,,
chelmsfordcentral,0.456877,51.734577,19/01/2013,6.1,445.9,30.5
,,,,,,
bedgeburypinetum,0.45077,51.072507,19/03/2016,3,117.9,14.9
,,,,,,
malling,0.437286,51.315352,03/10/2015,3.4,168.2,12.5
,,,,,,
haverhill,0.421826,52.076941,10/03/2018,1,74.1,15.2
,,,,,,
shornewoods,0.418639,51.404468,30/03/2013,6,170.5,18.2
,,,,,,
billericay,0.417486,51.632986,24/06/2017,1.7,225.8,27.1
,,,,,,
kingslynn,0.40525,52.751996,10/09/2011,7.5,188.3,14.4
,,,,,,
thurrock,0.363257,51.491574,10/10/2015,3.4,67.4,14.5
,,,,,,
greatdunmow,0.36266,51.87867,14/04/2018,0.9,112.9,23.8
,,,,,,
littleport,0.299386,52.463037,23/06/2018,0.7,152,21.7
,,,,,,
eastbourne,0.286503,50.804009,28/01/2012,7.1,180,18.8
,,,,,,
royaltunbridgewells,0.283799,51.130569,26/04/2014,4.9,167.3,19.7
,,,,,,
brentwood,0.265603,51.624225,06/12/2014,4.3,132.6,18.8
,,,,,,
tonbridge,0.260324,51.194729,09/11/2013,5.3,369.5,26.7
,,,,,,
dartford,0.219748,51.439176,26/07/2014,4.6,170,18.9
,,,,,,
