course,imd_sc,srvd_lsoa,srvd_pop,pop_km2,nearestlsoa
bedgeburypinetum,13.385,40,63791,59,E01024804
royaltunbridgewells,7.526,73,126508,3561,E01024821
burnley,32.964,70,105976,1056,E01024904
cuerdenvalley,31.627,85,145536,2995,E01024952
lythamhall,5.732,47,72106,956,E01024992
hyndburn,38.492,79,119564,784,E01025032
lancaster,6.123,100,160833,1742,E01025126
pendle,14.044,53,84885,671,E01025222
preston,31.776,130,209404,3266,E01025306
clitheroecastle,8.528,21,34182,1795,E01025344
ormskirk,6.893,69,106747,2406,E01025490
marketharborough,17.351,34,61543,4262,E01025801
meltonmowbray,4.368,30,50018,4351,E01025906
conkers,7.587,60,108952,409,E01025951
boston,14.087,118,214165,929,E01026038
lincoln,38.45,117,203984,5971,E01026172
beltonhouse,4.187,60,110386,3426,E01026294
gainsborough,25.621,31,55861,2488,E01026379
marketrasenracecourse,25.511,19,38860,2550,E01026389
swaffham,14.666,18,34847,1577,E01026457
thetford,25.705,28,47998,276,E01026474
blickling,12.061,36,60751,74,E01026502
brundall,7.148,38,60697,191,E01026509
gorleston,16.514,56,92876,2524,E01026611
frittonlake,14.888,23,34674,131,E01026613
kingslynn,55.898,69,118090,3965,E01026699
holkham,14.51,20,30872,211,E01026764
sheringham,9.754,19,32304,1721,E01026772
catton,29.137,79,123401,6198,E01026799
norwich,35.553,45,76781,4944,E01026858
mulbarton,4.658,50,85412,1063,E01026915
corby,23.134,46,78910,2857,E01026952
daventry,12.8,30,53840,1988,E01026987
kettering,19.118,130,233666,2161,E01027130
northampton,25.169,116,195403,1696,E01027187
druridgebay,40.265,41,69090,3616,E01027443
prudhoeriverside,12.855,47,75742,530,E01027496
newbigginbythesea,31.31,73,119647,2278,E01027541
skipton,23.556,22,38763,1472,E01027581
northallerton,10.849,30,50684,241,E01027611
fountainsabbey,7.989,30,47093,3709,E01027708
harrogate,3.079,70,107204,2062,E01027733
catterick,9.14,33,53577,882,E01027746
dalbyforest,17.709,87,137793,12,E01027802
selby,7.413,38,65940,156,E01027882
brierleyforest,13.842,97,161420,2946,E01027988
clumberpark,31.285,60,97842,122,E01028064
beeston,18.352,40,67449,988,E01028081
bestwoodvillage,18.342,68,110136,238,E01028142
gedling,9.036,50,77789,277,E01028178
colwick,9.953,63,103952,2814,E01028184
mansfield,12.547,74,122438,1383,E01028277
newark,11.515,45,76687,1463,E01028309
sherwoodpines,35.523,25,45014,199,E01028313
rushcliffe,11.751,16,27453,378,E01028405
banbury,13.899,65,106558,672,E01028438
bicester,2.209,31,52743,2932,E01028464
oxford,15.378,64,108430,2207,E01028597
didcot,2.891,58,97581,5801,E01028626
henleyonthames,7.696,21,32989,2463,E01028650
abingdon,5.948,44,71726,5626,E01028688
harcourthill,3.428,63,114123,4939,E01028740
witney,1.345,68,115895,846,E01028820
shrewsbury,4.134,78,134566,2087,E01028974
sheptonmallet,15.657,45,75683,365,E01029064
street,20.936,29,51291,514,E01029071
burnhamandhighbridge,14.847,128,212819,1442,E01029133
henstridgeairfield,19,40,76063,106,E01029154
yeovilmontacute,19.117,84,134665,180,E01029215
longrunmeadow,13.729,99,171183,3176,E01029288
cannockchase,38.428,172,290555,3729,E01029390
thewammy,64.633,100,165321,3519,E01029554
greatcornard,15.694,34,57207,2695,E01029891
brandoncountrypark,24.062,28,54335,1698,E01029929
ipswich,36.902,113,189436,5711,E01030013
clarecastle,9.697,12,25585,228,E01030101
haverhill,23.937,39,72348,1068,E01030115
burystedmunds,10.576,62,102558,888,E01030144
felixstowe,27.517,20,31529,5868,E01030162
sizewell,21.052,24,42057,108,E01030187
lowestoft,43.095,56,90389,9102,E01030254
nonsuch,2.715,173,294597,4282,E01030407
guildford,6.638,74,131603,1791,E01030438
molevalley,8.866,50,80823,176,E01030556
banstead,8.198,38,60904,191,E01030567
reigatepriory,4.957,61,104991,1384,E01030620
homewood,7.118,61,101535,163,E01030679
hazelwood,14.172,70,115720,1751,E01030717
frimleylodge,8.432,71,113431,1946,E01030782
cranleigh,8.151,30,47182,503,E01030875
woking,12.243,63,103466,11086,E01030993
kingsburywater,13.177,107,170639,1985,E01031033
bedworth,27.4,163,266106,3278,E01031064
rugby,21.221,61,114477,2237,E01031133
stratforduponavon,3.59,38,68515,1806,E01031225
leamington,22.565,85,135234,6943,E01031276
lancingbeachgreen,16.938,39,60923,3178,E01031342
bognorregis,37.309,80,134198,6840,E01031432
chichester,5.944,39,71224,3205,E01031486
tilgate,16.895,78,134652,850,E01031606
horsham,5.964,58,100633,5939,E01031691
eastgrinstead,5.894,44,75546,2833,E01031730
clair,7.687,77,132635,3862,E01031761
worthing,31.02,96,160371,4329,E01031789
marlboroughcommon,7.67,26,43898,773,E01031863
chippenham,26.253,50,84543,3709,E01031917
swindon,4.315,158,265168,433,E01031962
salisbury,38.437,68,118849,4933,E01032023
melksham,35.721,42,69638,1850,E01032062
southwickcountrypark,14.95,81,139844,3567,E01032091
arrowvalley,8.65,111,180196,1092,E01032274
worcesterpitchcroft,19.212,78,127488,5084,E01032280
worcester,38.434,51,83182,5929,E01032307
evesham,18.437,50,82480,306,E01032385
wyreforest,16.815,78,125152,46,E01032472
armley,43.654,34,55478,9268,E01032500
hogmoorinclosure,11.852,58,95183,410,E01032663
canterbury,4.742,102,184690,363,E01032809
whiteley,6.632,52,86560,2254,E01032860
kingsway,17.044,25,43302,4255,E01032933
sixfieldsupton,17.299,58,99764,1172,E01032977
wayland,42.472,38,65638,1103,E01033040
greatdunmow,14.516,18,35149,181,E01033056
durham,23.89,67,118654,5043,E01033197
ellenbrookfields,14.121,40,78202,5448,E01033308
pomphreyhill,2.575,60,100447,6977,E01033336
dishleyloughborough,12.484,86,153712,5230,E01033386
colneylane,18.81,32,56756,3813,E01033435
kesgrave,4.891,54,94663,9660,E01033444
warrenhill,18.498,7,13683,42,E01033446
miltonkeynes,7.594,63,112312,912,E01033503
ludlow,15.359,43,64436,645,E01033527
henleywood,7.252,35,53136,2351,E01033528
victoriadock,25.491,77,154518,6099,E01033576
greenwich,26.164,73,123627,3909,E01033729
